OTU.ID	taxa
4541	Bacteria
4544	Bacteria
4545	Bacteria
4546	Bacteria
4550	Bacteria
4565	Bacteria
4567	Bacteria
4595	Bacteria
4602	Bacteria
4603	Bacteria
4610	Bacteria
4619	Bacteria
4631	Bacteria
4643	Bacteria
4661	Bacteria
4662	Bacteria
4667	Bacteria
4677	Bacteria
4685	Bacteria
4687	Bacteria
4690	Bacteria
4713	Bacteria
4716	Bacteria
4720	Bacteria
4741	Bacteria
4742	Bacteria
4744	Bacteria
4749	Bacteria
4750	Bacteria
4751	Bacteria
4761	Bacteria
4764	Bacteria
4771	Bacteria
4773	Bacteria
4780	Bacteria
4782	Bacteria
4793	Bacteria
4803	Bacteria
4805	Bacteria
4810	Bacteria
4811	Bacteria
4823	Bacteria
4825	Bacteria
4828	Bacteria
4832	Bacteria
4840	Bacteria
4853	Bacteria
4855	Bacteria
4862	Bacteria
4885	Bacteria
4889	Bacteria
4893	Bacteria
4896	Bacteria
4900	Bacteria
4901	Bacteria
4913	Bacteria
4914	Bacteria
4935	Bacteria
4938	Bacteria
4940	Bacteria
4961	Bacteria
4964	Bacteria
4977	Bacteria
4978	Bacteria
4979	Bacteria
4987	Bacteria
4994	Bacteria
5018	Bacteria
5019	Bacteria
5020	Bacteria
5023	Bacteria
5024	Bacteria
5025	Bacteria
5030	Bacteria
5035	Bacteria
5036	Bacteria
5037	Bacteria
5039	Bacteria
5041	Bacteria
5057	Bacteria
5059	Bacteria
5063	Bacteria
5065	Bacteria
5068	Bacteria
5071	Bacteria
5072	Bacteria
5075	Bacteria
5077	Bacteria
5080	Bacteria
5086	Bacteria
5092	Bacteria
5093	Bacteria
5097	Bacteria
5099	Bacteria
5102	Bacteria
5105	Bacteria
5106	Bacteria
5117	Bacteria
5118	Bacteria
5124	Bacteria
5129	Bacteria
5136	Bacteria
5142	Bacteria
5157	Bacteria
5163	Bacteria
5185	Bacteria
5186	Bacteria
5195	Bacteria
5203	Bacteria
5242	Bacteria
5244	Bacteria
5248	Bacteria
5255	Bacteria
5260	Bacteria
5277	Bacteria
5281	Bacteria
5284	Bacteria
5296	Bacteria
5301	Bacteria
5309	Bacteria
5315	Bacteria
5323	Bacteria
5325	Bacteria
5331	Bacteria
5339	Bacteria
5344	Bacteria
5345	Bacteria
5358	Bacteria
5363	Bacteria
5365	Bacteria
5373	Bacteria
5375	Bacteria
5378	Bacteria
5383	Bacteria
5384	Bacteria
5394	Bacteria
5411	Bacteria
5429	Bacteria
5445	Bacteria
5452	Bacteria
5453	Bacteria
5460	Bacteria
5470	Bacteria
5472	Bacteria
5481	Bacteria
5482	Bacteria
5488	Bacteria
5514	Bacteria
5516	Bacteria
5520	Bacteria
5525	Bacteria
5528	Bacteria
5532	Bacteria
5540	Bacteria
5545	Bacteria
5560	Bacteria
5567	Bacteria
5568	Bacteria
5575	Bacteria
5586	Bacteria
5592	Bacteria
5605	Bacteria
5619	Bacteria
5621	Bacteria
5653	Bacteria
5658	Bacteria
5664	Bacteria
5666	Bacteria
5671	Bacteria
5672	Bacteria
5683	Bacteria
5685	Bacteria
5687	Bacteria
5691	Bacteria
5698	Bacteria
5703	Bacteria
5726	Bacteria
5742	Bacteria
5753	Bacteria
5756	Bacteria
5762	Bacteria
5776	Bacteria
5777	Bacteria
5779	Bacteria
5788	Bacteria
5797	Bacteria
5801	Bacteria
5817	Bacteria
5819	Bacteria
5826	Bacteria
5846	Bacteria
5847	Bacteria
5850	Bacteria
5852	Bacteria
5855	Bacteria
5862	Bacteria
5870	Bacteria
5888	Bacteria
5893	Bacteria
5894	Bacteria
5903	Bacteria
5906	Bacteria
5914	Bacteria
5931	Bacteria
5932	Bacteria
5941	Bacteria
5971	Bacteria
5972	Bacteria
5977	Bacteria
5979	Bacteria
5989	Bacteria
5996	Bacteria
5999	Bacteria
6001	Bacteria
6005	Bacteria
6006	Bacteria
6013	Bacteria
6014	Bacteria
6021	Bacteria
6022	Bacteria
6028	Bacteria
6076	Bacteria
6078	Bacteria
6095	Bacteria
6101	Bacteria
6110	Bacteria
6113	Bacteria
6119	Bacteria
6121	Bacteria
6126	Bacteria
6131	Bacteria
6132	Bacteria
6138	Bacteria
6153	Bacteria
6157	Bacteria
6163	Bacteria
6169	Bacteria
6176	Bacteria
6180	Bacteria
6181	Bacteria
6185	Bacteria
6187	Bacteria
6195	Bacteria
6198	Bacteria
6204	Bacteria
6208	Bacteria
6224	Bacteria
6227	Bacteria
6248	Bacteria
6253	Bacteria
6256	Bacteria
6257	Bacteria
6259	Bacteria
6263	Bacteria
6264	Bacteria
6268	Bacteria
6299	Bacteria
6300	Bacteria
6327	Bacteria
6328	Bacteria
6332	Bacteria
6337	Bacteria
6342	Bacteria
6348	Bacteria
6353	Bacteria
6358	Bacteria
6360	Bacteria
6363	Bacteria
6370	Bacteria
6372	Bacteria
6380	Bacteria
6385	Bacteria
6386	Bacteria
6392	Bacteria
6393	Bacteria
6400	Bacteria
6405	Bacteria
6408	Bacteria
6419	Bacteria
6431	Bacteria
6434	Bacteria
6437	Bacteria
6449	Bacteria
6450	Bacteria
6460	Bacteria
6462	Bacteria
6463	Bacteria
6465	Bacteria
6466	Bacteria
6469	Bacteria
6470	Bacteria
6483	Bacteria
6488	Bacteria
6489	Bacteria
6506	Bacteria
6514	Bacteria
6517	Bacteria
6519	Bacteria
6525	Bacteria
6532	Bacteria
6536	Bacteria
6537	Bacteria
6542	Bacteria
6543	Bacteria
6559	Bacteria
6564	Bacteria
6570	Bacteria
6571	Bacteria
6573	Bacteria
6577	Bacteria
6580	Bacteria
6588	Bacteria
6589	Bacteria
6592	Bacteria
6605	Bacteria
6611	Bacteria
6612	Bacteria
6613	Bacteria
6624	Bacteria
6626	Bacteria
